"STATION","NAME","DATE","AWND","TAVG","TMAX","TMIN"
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-01",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-02",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-03",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-04",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-05",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-06",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-07",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-08",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-09",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-10",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-11",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-12",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-13",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-14",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-15",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-16",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-17",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-18",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-19",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-20",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-21",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-22",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-23",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-24",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-25",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-26",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-27",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-28",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-29",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-30",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-01-31",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-01",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-02",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-03",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-04",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-05",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-06",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-07",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-08",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-09",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-10",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-11",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-12",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-13",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-14",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-15",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-16",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-17",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-18",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-19",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-20",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-21",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-22",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-23",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-24",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-25",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-26",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-27",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-02-28",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-01",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-02",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-03",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-04",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-05",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-06",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-07",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-08",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-09",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-10",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-11",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-12",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-13",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-14",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-15",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-16",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-17",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-18",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-19",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-20",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-21",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-22",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-23",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-24",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-25",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-26",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-27",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-28",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-29",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-30",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-03-31",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-04-01",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-04-02",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-04-03",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-04-04",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-04-05",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-04-06",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-04-07",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-04-08",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-04-09",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-04-10",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-04-11",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-04-12",,,,
"US1ARPS0071","SHERWOOD 0.8 NNW, AR US","2019-04-13",,,,
